,glottocode,name,isocodes,latitude,longitude
9926,maya1286,"Maya, Chan Santa Cruz",yus,0.0,0.0
9940,mayo1267,Mayo (Brazil),0,0.0,0.0
10035,mbou1245,Mbour Sign Language,0,0.0,0.0
10043,mbuk1244,Mbuk,0,0.0,0.0
10073,mede1238,Medefidrin,0,0.0,0.0
10093,mehe1245,Mehek Sign Language,0,0.0,0.0
10094,mehe1242,Meherrin,0,0.0,0.0
10148,ment1251,Menterap,0,0.0,0.0
10185,mess1244,Messapic,cms,0.0,0.0
10227,midd1344,Middle Chinese,ltc,0.0,0.0
10229,midd1321,Middle Dutch,dum,0.0,0.0
10232,midd1317,Middle English,enm,0.0,0.0
10235,midd1343,Middle High German,gmh,0.0,0.0
10236,midd1350,Middle Indo-Aryan,0,0.0,0.0
10238,midd1318,Middle Low German,gml,0.0,0.0
10239,midd1351,Middle Mongol,xng,0.0,0.0
10264,mika1256,Mikaya-Bambengangale-Baluma,0,0.0,0.0
10278,mily1238,Milyan,imy,0.0,0.0
10280,mimi1246,Mimi,miv,0.0,0.0
10286,mina1279,Minaean,inm,0.0,0.0
10321,mino1236,Minoan,omn,0.0,0.0
10403,moab1234,Moabite,obm,0.0,0.0
10408,mobw1234,Mobwa Karen,jkm,0.0,0.0
10428,mofu1251,Mofu-Gudur Sign Language,0,0.0,0.0
10450,moin1242,Moinba,mob,0.0,0.0
10465,mokp1238,Mokpa,0,0.0,0.0
10475,mole1239,Molet,0,0.0,0.0
10536,monq1236,Monqui,0,0.0,0.0
10615,mouw1234,Mouwase,jmw,0.0,0.0
10632,mpam1239,Mpama,0,0.0,0.0
10677,mudu1239,Muduga,udg,0.0,0.0
10679,muel1234,Muellamues,0,0.0,0.0
10693,muji1236,Muji Yi,ymj,0.0,0.0
10696,mukl1234,Muklom,0,0.0,0.0
10697,muko1237,Muko-Muko,vmo,0.0,0.0
10727,mund1339,Mundari (Retired),muw,0.0,0.0
10768,murp1234,Mur Pano,tkv,0.0,0.0
10814,muzo1235,Muzo,0,0.0,0.0
10841,mwes1234,Mwesa,0,0.0,0.0
10848,myce1241,Mycenaean Greek,gmy,0.0,0.0
10949,namm1235,Nam,0,0.0,0.0
